,umich_user_id,answer_count,average_answer_length,total_votes_given_answers,total_votes_received_answers,question_count,average_question_length,total_votes_given_questions,total_votes_received_questions,total_questions_following,country_cd_US,is_female,bachelor_obtained,white,completed
79,e078e007350ca81fad2d448a549b20bbfa4e718c,15.0,799.0,0.0,2.0,0.0,799.0,0.0,0.0,1.0,1,1,0,1,1
80,0f74b5c95d4e4ce2aa521d6d7ce9b82e3009ced0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0
81,39fe7df782872b198b3aed744bbd02111bde44b5,9.0,251.0,0.0,0.0,0.0,251.0,0.0,0.0,1.0,1,1,0,0,1
82,87e50dcd408236dace104828f5b7387ca9aed808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0
83,4018347bcf18c6ca05244d2d68c0dc22b8f3bd48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
84,e167443a83f3e34a45b5159c47957b31201345e8,5.0,406.6,2.0,0.0,0.0,406.6,0.0,0.0,0.0,1,1,0,0,0
85,d32556ca97d3b1ec7ea78409c4b38b929f938b63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
86,7901193eb1421811076629a2d7d94de2a2249f52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
87,ebf66bdeb3b548dd504c3c64d0ecaaac626dd476,4.0,1023.0,0.0,4.0,0.0,1023.0,0.0,0.0,0.0,1,1,0,1,1
88,1e8e166ce8ade55a0a65c0aa9f50008c04ee8a73,16.0,230.375,0.0,2.0,0.0,230.375,0.0,0.0,0.0,1,1,0,1,1
89,efaccabcec5991a3d2d1988e9644efd9c1c40c32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
90,a9550efc7e69ad116b6029a87f7b430996206361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0
91,f8ab0bb06814a44fe545aacc8c6f848363d1bb00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
92,5f7116cce4ee59dec691a433bc034d04f903305a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1
93,6b16704084b39fbbdfcf3e05fa86cc14ae48d44e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1
94,8f9d321f9deb5d4fd892ce663bebc97a802fea96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
95,a17a6d517a21ec12b57305ab797e3acd7c8f7f7b,1.0,472.0,0.0,0.0,0.0,472.0,0.0,0.0,0.0,0,1,1,0,0
96,1c87c048201b4d2efd3154c1304da7088ad716b1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1
97,a9f02ae74546b7a6b52ef310f326dace1467846f,6.0,337.1666666666667,0.0,1.0,0.0,337.1666666666667,0.0,0.0,0.0,0,1,0,0,1
98,b06a800290ee56aadc0aa5af0835e9fda6375c9f,16.0,361.625,0.0,0.0,0.0,361.625,0.0,0.0,0.0,1,1,0,0,1
99,91455e9a20ce0683e029acfe5e839a7bd04f0395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1
